Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
53,0,Widowed,0,>5 years,0,1,Medium,100,Full Coverage,0,2150,0,1,0,50,Online,16,0,6,3,2,99,761,-50,Rural,0
27,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2200,0,0,0,0,Agent,16,1,4,2,2,3,769,-50,Rural,0
35,0,Widowed,0,>5 years,0,0,Low,0,Full Coverage,0,2050,0,1,0,50,Online,7,1,5,1,3,1,750,-50,Rural,0
44,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,20,1,6,2,2,7,755,-50,Suburban,50
54,0,Divorced,0,1-5 years,50,1,Low,50,Full Coverage,0,2250,0,0,0,0,Agent,11,1,4,0,1,7,768,-50,Suburban,50
32,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2100,0,0,0,0,Online,3,1,3,4,3,5,681,50,Rural,0
37,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2036,0,1,0,50,Online,15,1,5,1,1,3,744,-50,Suburban,50
23,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Online,17,1,4,1,3,2,781,-50,Suburban,50
22,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,0,1,0,50,Online,3,0,1,0,2,99,735,-50,Urban,100
52,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Referral,29,0,6,0,2,99,735,-50,Urban,100
60,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,0,1,0,50,Online,2,1,6,2,2,1,675,50,Urban,100
38,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,14,1,6,2,3,13,705,-50,Urban,100
55,1,Married,86,1-5 years,50,0,High,0,Liability-Only,-200,2086,0,0,1,50,Agent,5,1,6,3,2,10,702,-50,Urban,100
45,0,Married,86,1-5 years,50,3,Low,150,Liability-Only,-200,2136,1,1,0,100,Online,24,0,2,4,3,99,738,-50,Suburban,50
30,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2250,0,1,0,50,Online,4,1,2,2,1,8,639,50,Urban,100
45,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,12,0,7,0,2,99,719,-50,Urban,100
63,1,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,1,50,Online,7,0,6,3,2,99,658,50,Urban,100
39,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2200,1,0,0,50,Online,25,0,3,1,3,99,774,-50,Suburban,50
63,1,Single,0,1-5 years,50,2,High,400,Full Coverage,0,2550,0,0,0,0,Referral,11,0,4,1,2,99,775,-50,Rural,0
18,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,0,1,0,50,Online,20,1,5,0,1,7,616,50,Rural,0
52,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,1,0,0,50,Online,21,1,5,3,2,13,775,-50,Suburban,50
41,0,Divorced,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Agent,25,0,2,2,1,99,720,-50,Urban,100
35,0,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2386,0,1,0,50,Online,2,0,9,4,1,99,692,50,Rural,0
41,0,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,2,0,8,1,2,99,739,-50,Suburban,50
18,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2200,0,1,1,100,Online,10,0,4,0,3,99,709,-50,Urban,100
36,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,0,0,0,Agent,18,0,6,0,3,99,699,50,Suburban,50
45,0,Married,86,>5 years,0,1,Medium,100,Liability-Only,-200,2236,0,0,0,0,Online,17,0,9,6,3,99,634,50,Suburban,50
62,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,6,1,4,2,2,3,725,-50,Rural,0
32,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,1,0,0,50,Online,11,1,4,1,2,3,747,-50,Urban,100
27,0,Married,86,<1 year,100,0,Medium,0,Liability-Only,-200,2086,0,0,0,0,Online,17,1,6,1,1,5,719,-50,Rural,0
32,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2286,1,1,1,150,Online,29,1,6,2,2,3,651,50,Rural,0
53,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,30,0,9,4,2,99,655,50,Urban,100
44,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Referral,21,1,7,2,2,7,699,50,Urban,100
32,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Agent,27,0,7,2,2,99,801,-50,Rural,0
47,0,Divorced,0,1-5 years,50,0,High,0,Full Coverage,0,2150,0,1,0,50,Agent,15,0,4,1,2,99,724,-50,Suburban,50
41,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Online,10,0,3,2,2,99,756,-50,Suburban,50
54,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2236,0,1,0,50,Agent,4,1,6,5,3,3,723,-50,Suburban,50
29,0,Married,86,<1 year,100,0,High,0,Full Coverage,0,2486,0,0,0,0,Online,13,0,3,2,3,99,682,50,Urban,100
35,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Referral,1,0,4,0,2,99,663,50,Rural,0
34,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,1,0,0,50,Online,15,1,4,3,2,3,850,-50,Urban,100
18,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2300,0,0,0,0,Online,27,1,5,1,1,3,734,-50,Suburban,50
44,0,Single,0,>5 years,0,0,High,0,Full Coverage,0,2200,0,1,0,50,Referral,24,0,3,0,2,99,687,50,Suburban,50
43,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,1900,1,0,0,50,Online,5,1,9,1,2,7,706,-50,Rural,0
40,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2200,0,0,0,0,Agent,6,0,5,2,2,99,708,-50,Suburban,50
36,0,Widowed,0,>5 years,0,0,Low,0,Liability-Only,-200,1800,1,1,0,100,Online,7,0,2,2,1,99,717,-50,Rural,0
18,0,Married,86,<1 year,100,0,High,0,Full Coverage,0,2186,1,1,0,100,Agent,8,1,5,1,3,8,744,-50,Rural,0
33,0,Married,86,>5 years,0,2,Low,100,Full Coverage,0,2336,0,0,0,0,Online,12,1,7,2,2,12,796,-50,Suburban,50
34,0,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2100,1,0,0,50,Online,15,0,3,1,1,99,701,-50,Rural,0
27,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2150,1,0,0,50,Online,3,0,3,3,2,99,638,50,Urban,100
37,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2236,0,0,1,50,Agent,22,1,5,4,1,8,716,-50,Rural,0
46,0,Married,86,>5 years,0,1,High,200,Full Coverage,0,2286,1,1,0,100,Referral,9,1,7,1,3,5,726,-50,Rural,0
68,1,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2486,0,0,0,0,Agent,11,1,10,0,1,2,668,50,Suburban,50
42,0,Married,86,<1 year,100,1,High,200,Liability-Only,-200,2436,1,0,0,50,Agent,20,0,2,0,1,99,697,50,Urban,100
43,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2286,0,0,0,0,Online,12,0,3,1,2,99,721,-50,Suburban,50
38,0,Widowed,0,>5 years,0,0,Low,0,Full Coverage,0,2100,0,0,0,0,Online,8,1,6,2,2,4,740,-50,Rural,0
18,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2400,0,0,0,0,Agent,14,0,4,0,3,99,593,50,Urban,100
39,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2136,0,0,0,0,Agent,16,0,4,3,1,99,718,-50,Urban,100
40,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,3,1,8,1,2,4,744,-50,Suburban,50
76,1,Divorced,0,<1 year,100,1,Medium,100,Full Coverage,0,2400,1,0,0,50,Referral,1,1,9,4,1,2,673,50,Suburban,50
37,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2336,0,0,0,0,Online,18,0,6,2,3,99,697,50,Rural,0
44,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2336,1,0,0,50,Agent,13,1,6,3,2,8,745,-50,Urban,100
39,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1850,0,1,0,50,Online,12,1,7,1,3,11,740,-50,Rural,0
22,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1800,1,1,0,100,Online,5,1,6,2,1,8,727,-50,Rural,0
57,1,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2236,0,1,0,50,Agent,7,1,5,0,2,4,746,-50,Suburban,50
51,0,Widowed,0,1-5 years,50,1,Medium,100,Full Coverage,0,2300,0,0,0,0,Online,6,0,1,1,3,99,705,-50,Suburban,50
51,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2086,0,1,0,50,Referral,9,1,8,1,1,9,705,-50,Suburban,50
26,0,Married,86,<1 year,100,0,High,0,Liability-Only,-200,2186,0,0,0,0,Online,4,1,3,1,2,5,730,-50,Urban,100
61,1,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,1,0,0,50,Agent,23,1,3,1,2,1,737,-50,Suburban,50
18,0,Married,86,1-5 years,50,2,Medium,200,Full Coverage,0,2436,0,1,0,50,Online,4,1,6,3,3,9,713,-50,Suburban,50
48,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,0,0,0,Online,3,1,6,2,1,10,763,-50,Suburban,50
72,1,Widowed,0,<1 year,100,1,Low,50,Liability-Only,-200,2250,0,0,0,0,Agent,6,0,7,1,3,99,685,50,Urban,100
25,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2186,1,1,0,100,Online,27,1,10,2,2,9,749,-50,Suburban,50
31,0,Widowed,0,>5 years,0,2,Low,100,Liability-Only,-200,2100,0,1,0,50,Online,11,0,5,3,3,99,692,50,Suburban,50
41,0,Divorced,0,1-5 years,50,1,Low,50,Liability-Only,-200,2200,0,0,0,0,Agent,29,0,7,2,1,99,700,50,Urban,100
32,0,Married,86,>5 years,0,0,High,0,Full Coverage,0,2286,0,0,0,0,Online,29,1,6,1,3,13,804,-50,Urban,100
18,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2400,0,0,0,0,Online,5,0,3,0,3,99,681,50,Suburban,50
41,0,Married,86,1-5 years,50,2,Low,100,Full Coverage,0,2336,0,1,0,50,Referral,27,1,6,1,1,9,756,-50,Suburban,50
24,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,1850,1,1,0,100,Referral,26,1,8,2,2,10,727,-50,Rural,0
47,0,Married,86,>5 years,0,0,Medium,0,Liability-Only,-200,2136,0,0,0,0,Online,11,1,3,2,3,1,669,50,Suburban,50
26,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2150,1,1,0,100,Agent,8,0,5,1,1,99,718,-50,Rural,0
63,1,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,0,0,0,0,Agent,26,0,5,3,1,99,759,-50,Suburban,50
28,0,Divorced,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,1,0,50,Online,14,1,6,0,3,11,815,-50,Urban,100
35,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Agent,18,0,4,0,2,99,727,-50,Urban,100
52,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,1,0,50,Agent,20,0,5,4,2,99,699,50,Suburban,50
21,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2486,0,0,0,0,Online,24,1,5,3,2,2,658,50,Urban,100
43,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2386,0,0,0,0,Agent,29,1,6,1,2,13,675,50,Urban,100
59,1,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,28,0,3,4,1,99,806,-50,Urban,100
18,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2236,0,1,0,50,Agent,1,1,2,1,1,4,639,50,Urban,100
42,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2200,1,0,0,50,Agent,10,0,5,1,3,99,707,-50,Suburban,50
43,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Agent,19,1,9,4,3,13,767,-50,Suburban,50
51,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,1986,0,1,1,100,Referral,7,0,4,0,1,99,633,50,Rural,0
21,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,1,0,0,50,Referral,13,0,6,3,1,99,675,50,Urban,100
20,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Agent,16,1,5,1,1,11,652,50,Rural,0
47,0,Single,0,<1 year,100,0,Medium,0,Liability-Only,-200,2050,0,1,0,50,Agent,18,0,6,0,1,99,705,-50,Urban,100
44,0,Widowed,0,<1 year,100,1,Low,50,Liability-Only,-200,2000,1,0,0,50,Online,23,1,6,2,2,10,761,-50,Rural,0
43,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2436,0,0,0,0,Online,6,1,5,0,1,1,688,50,Urban,100
45,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,7,0,7,5,1,99,721,-50,Urban,100
29,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2186,0,1,0,50,Agent,24,1,10,3,3,5,666,50,Suburban,50
43,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Online,22,1,5,1,2,4,753,-50,Suburban,50
44,0,Married,86,<1 year,100,2,Low,100,Liability-Only,-200,2286,0,0,0,0,Online,16,1,4,2,2,2,761,-50,Urban,100
29,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2100,1,0,0,50,Online,6,0,1,2,3,99,737,-50,Suburban,50
67,1,Widowed,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,0,0,0,Online,11,0,4,5,2,99,738,-50,Suburban,50
47,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Referral,7,1,7,3,3,11,721,-50,Suburban,50
22,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2350,0,1,0,50,Online,18,1,3,3,3,11,660,50,Urban,100
49,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,3,0,8,2,2,99,691,50,Suburban,50
25,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,26,1,9,2,3,13,765,-50,Suburban,50
51,0,Married,86,1-5 years,50,2,High,400,Liability-Only,-200,2536,0,0,1,50,Online,17,0,6,4,2,99,680,50,Suburban,50
57,1,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2336,0,0,0,0,Referral,30,1,3,6,2,12,754,-50,Urban,100
27,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,24,0,7,1,1,99,704,-50,Urban,100
54,0,Married,86,1-5 years,50,1,High,200,Liability-Only,-200,2286,1,0,0,50,Online,16,1,1,5,3,2,646,50,Rural,0
46,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,19,1,6,1,1,2,758,-50,Urban,100
52,0,Married,86,1-5 years,50,0,High,0,Liability-Only,-200,2136,1,1,0,100,Agent,19,0,5,3,2,99,684,50,Urban,100
68,1,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,11,1,9,1,3,6,709,-50,Urban,100
36,0,Widowed,0,1-5 years,50,1,Low,50,Liability-Only,-200,2200,0,0,0,0,Online,1,0,6,0,1,99,643,50,Urban,100
28,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,1,0,50,Referral,29,0,4,1,3,99,736,-50,Urban,100
26,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,22,1,7,4,2,6,712,-50,Urban,100
27,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,1,0,0,50,Referral,14,1,7,1,1,13,773,-50,Urban,100
38,0,Divorced,0,1-5 years,50,1,Low,50,Liability-Only,-200,2050,0,1,0,50,Online,30,1,5,1,2,7,757,-50,Urban,100
45,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2350,0,0,0,0,Online,19,1,1,0,1,13,786,-50,Urban,100
44,0,Married,86,<1 year,100,2,Low,100,Liability-Only,-200,2286,0,1,0,50,Agent,11,1,8,0,1,2,693,50,Suburban,50
52,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,1986,0,1,0,50,Online,20,1,10,2,1,6,719,-50,Rural,0
40,0,Married,86,>5 years,0,2,High,400,Liability-Only,-200,2586,0,0,0,0,Online,17,1,4,0,2,3,679,50,Urban,100
61,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Agent,28,0,1,2,3,99,614,50,Urban,100
36,0,Widowed,0,1-5 years,50,2,Medium,200,Liability-Only,-200,2150,0,0,0,0,Online,2,1,4,1,3,4,724,-50,Rural,0
80,1,Divorced,0,<1 year,100,0,Low,0,Full Coverage,0,2250,1,1,0,100,Referral,30,1,6,2,3,6,654,50,Suburban,50
49,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,1,0,50,Online,17,1,1,1,3,1,678,50,Suburban,50
27,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2300,1,0,0,50,Agent,29,0,6,2,3,99,784,-50,Urban,100
23,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Online,6,0,7,6,2,99,704,-50,Suburban,50
47,0,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2286,0,1,0,50,Online,16,1,3,1,2,6,680,50,Urban,100
36,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,2200,0,0,0,0,Referral,29,0,5,3,3,99,663,50,Urban,100
50,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2100,0,0,0,0,Online,9,1,3,0,1,1,707,-50,Urban,100
47,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2286,0,1,0,50,Agent,30,0,3,5,2,99,806,-50,Suburban,50
38,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Online,27,0,3,1,3,99,743,-50,Suburban,50
27,0,Divorced,0,>5 years,0,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,9,1,6,2,2,12,681,50,Urban,100
18,0,Single,0,<1 year,100,0,Medium,0,Full Coverage,0,2150,0,1,0,50,Online,23,0,9,3,1,99,739,-50,Rural,0
33,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2236,0,1,0,50,Agent,10,0,10,2,2,99,746,-50,Rural,0
